_id,name,description,common_complications
329,"Luteinizing hormone (LH, pituitary gland hormone measurement)",Luteinizing hormone (LH) is a hormone produced by the pituitary gland. An increase in LH at mid-cycle of menses stimulates the ovary to release an egg (ovulate). Doctors most often order a blood LH test to help evaluate infertility or irregular vaginal bleeding.,None
330,Lipase (pancreatic blood test),Lipase is an enzyme produced by the pancreas to help digest dietary fats. The lipase blood level increases when the pancreas is damaged or inflamed (pancreatitis).,None
331,Lymph node biopsy (remove sample of lymph node),"Lymph node biopsy is a test in which a lymph node or a piece of a lymph node is removed for examination under a microscope. Doctors do this test to diagnose cancer,  infection and other diseases.",Pain and swelling at the biopsy site. Infection and injury to the surrounding tissues can occur.
332,Mono spot (blood test for mononucleosis),The mononucleosis spot test looks for antibodies in the blood. These are proteins that the bodys immune system produces when a person has mononucleosis caused by the Epstein-Barr virus (EBV). ,None
333,"Magnetic resonance cholangiopancreatography (MRCP, MRI image of bile ducts)","Magnetic resonance cholangiopancreatography (MRCP) is a test using a magnetic resonance imaging (MRI) machine to evaluate the liver, bile ducts, pancreas and pancreatic ducts.  ","Sometimes the test is performed with a dye called gadolinium. Gadolinium has been associated with a serious skin and connective tissue disease called nephrogenic systemic fibrosis (NSF). Patients with chronic kidney disease are at increased risk of developing NSF after gadolinium. More information can be found at http://www.fda.gov/Drugs/DrugSafety/DrugSafetyNewsletter/ucm142889. 
"
334,"Noninvasive vascular assessment (NIVA, ultrasound of blood vessels)","A NIVA uses sound waves (ultrasound) to look at the blood vessels and determine if there is normal blood flow or if the vessels contain a blood clot (deep vein thrombosis). The most common place to use a NIVA is on the legs, arms and neck. When done on the leg, it is called a LENI (lower extremity non-invasive).",None
335,Vasectomy (surgical male sterilization),A surgical procedure in which the tubes (vas deferens) that carry sperm from the testicles to the penis are cut and blocked. This procedure prevents the sperm from fertilizing the egg during intercourse. The procedure is considered a permanent form of birth control although it can sometimes be reversed with another surgery. The procedure is done in the office under local anesthesia.,"Patients can experience an infection at the surgical site consisting of redness, increased warmth, or a cloudy discharge from the wound. Bleeding at the site can cause swelling (hematoma) and pain. The large tube (epididymis) next to the sperm carrying tube (vas deferens) can become infected or inflamed. This is called epididymitis. Persistent scrotal discomfort can sometimes occur. Very rarely the procedure can fail and the patient is still able to impregnate his partner."
336,"Cholesterol (HDL, LDL, blood fat tests)","Cholesterol is a wax-like substance in the body and is necessary for normal body function. Having too much cholesterol can cause fatty deposits in the blood vessels (atherosclerosis) and lead to heart attacks and strokes. The blood test consists of total cholesterol, LDL cholesterol, and HDL cholesterol. Having high levels of LDL (bad cholesterol) increases one's risk of atherosclerosis while having high levels of HDL (good cholesterol) is associated with decreased risk.",None
337,Cosmetic ear surgery (otoplasty),"The most common reasons for performing otoplasty are to reduce the size of large ears, and to pin back ears that protrude too far from the head (ear pinning).      ","Complications include infection, areas of numbness and unsatisfactory results. Patients can infrequently have bad reactions to anesthesia."
338,Cosmetic cheek surgery (cheek implant),The most common type of cheek cosmetic surgery is a cheek implant or cheek augmentation. The procedure consists of building up the cheeks with silicone or other material to improve the cosmetic contours of the face.           ,"Complications include infection, areas of numbness and unsatisfactory results. If a foreign material is used such as silicone the patient's body can reject the material causing multiple symptoms and excessive scarring. Patients can infrequently have bad reactions to anesthesia."
339,Brazilian butt lift (cosmetic buttocks surgery),A particular type of buttocks lift where fat is removed from the thighs and lower back and placed in the buttocks area to produce a more cosmetic contour.,"Complications include blood clots, infection, areas of numbness and unsatisfactory results. Patients can infrequently have bad reactions to anesthesia."
340,Buttocks lift,A buttocks lift can be done alone or as part of a total body lift. The procedure is done to improve the contour of the buttocks. The surgeon can remove excess skin and/or add tissue by performing fat injections or an implant. The Brazilian butt lift is a particular buttocks lift.,"Complications include blood clots, infection, areas of numbness and unsatisfactory results. Patients can infrequently have bad reactions to anesthesia."
341,Tympanoplasty (ear drum repair),"Tympanoplasty is an eardrum repair. The surgeon repairs a damaged or perforated ear drum and sometimes the adjacent small bones of the middle ear. Typically a graft from a vein or muscle sheath is used, but occasionally an artificial material is required. Infection and trauma are the most common causes of ear drum damage.     ","Failure of the graft to heal, narrowing of the ear canal, scarring or adhesion's in the middle ear, hearing loss, dislocation of the prosthesis or facial nerve injury. The surgery can result in post-operative pain and/or infection. Patients can infrequently have bad reactions to anesthesia."
342,Stapedectomy (removal of middle ear bone),"During a stapedectomy the surgeon removes the innermost bone (stapes) of the three bones (the stapes, the incus, and the malleus) of the middle ear. The removed bone is replaced with a small plastic tube surrounding a short length of stainless steel wire. This procedure is performed to improve hearing loss that results from abnormal bone growth of the stapes (otosclerosis).","Complications include: increased hearing loss, vertigo (room spinning), damage to the other bones of the middle ear, facial nerve damage, perforated ear drum, temporary loss of taste, ringing in the ears (tinnitus), and infection. Occasionally the adverse effects are serious enough to require repeat surgery. Patients can infrequently have bad reactions to anesthesia."
343,Cochlear implant (implanted hearing device),A surgical procedure involving the implantation of an electronic hearing device that helps produce hearing sensations in patients with severe hearing loss. The person wears a device behind the ear that picks up sounds and sends signals to the implanted device.,"Complications may include: facial nerve damage, cerebrospinal fluid leakage, dizziness or vertigo, ringing in the ears (tinnitus), taste disturbances, numbness, and infection. Patients can infrequently have bad reactions to anesthesia."
344,Myringotomy and tympanostomy (ear tubes),The surgeon makes a small incision in the eardrum (tympanic membrane) to drain fluid. Most of the time a small tube (tympanoplasty tube) will be placed to prevent the fluid from re-accumulating. The most common cause of the fluid buildup is a chronic middle ear infection (otitis media).,"Complications include: persistent ear infection, thickening of the eardrum, persistent perforation after the tube falls out, chronic ear drainage, scarring of the eardrum, abnormal reaction to the tube, and infection. Patients can infrequently have bad reactions to anesthesia."
345,Deviated septum (septoplasty),"Surgical repair of a deviated septum is called a septoplasty. The surgery consists of removing, reshaping and repositioning the septum back to the center of the nose. The surgery is performed when the deviated septum causes frequent sinus infections, obstructive breathing, noisy breathing or frequent nosebleeds. ","Perforated septum, the need for a repeat surgery, and infection. Patients can infrequently have bad reactions to anesthesia."
346,Tonsillectomy (removal of tonsils),"Tonsillectomy is a surgical procedure to remove the tonsils. The tonsils are removed because of chronic infection, and also to relieve the obstruction in obstructive sleep apnea. Many times the adenoids are removed as well (adenoidectomy). ","Bleeding after surgery, injury to the soft palate and uvula, and infection. Patients can infrequently have bad reactions to the general anesthesia including allergic reactions.              "
347,Grommet removal (eardrum tube removal),A grommet is another name for a tympanoplasty tube. The tubes are usually removed after a year if they do not fall out on their own. The tubes are placed to drain fluid from the middle ear. ,Rarely damage to the eardrum or infection. 
348,Grommet insertion (eardrum tube insertion),A grommet is another name for a tympanoplasty tube. These tubes are placed in the eardrum to remove trapped fluid in the middle ear. The most common cause of the fluid accumulation is a chronic infection. The fluid causes hearing problems and sometimes dizziness. The tubes are usually left in for one year. Or the tube may come out on its own with healing of the eardrum.,Damage to the eardrum. All surgery comes with the risk of infection and blood clots. Patients can infrequently have bad reactions to the general anesthesia including allergic reactions.
349,KUB (x-ray of abdomen),"A KUB is an abdominal x-ray usually performed to look for intestinal blockage, free air (air that has escaped from the intestine because of a bowel perforation) or proper placement of a nasogastric (nose to stomach) tube.",A KUB requires only a small amount of radiation and is considered a safe procedure.
350,Renal ultrasound (kidney ultrasound),"An ultrasound (sonogram) consists of high frequency sound waves. A renal ultrasound is done to evaluate the kidney's size, position, and shape. The test can help diagnose kidney stones, tumors, and cysts. A Doppler ultrasound exam may also be performed to evaluate blood flow to the kidneys.",None
351,Scrotal ultrasound (ultrasound of contents of testicle sac),"An ultrasound (sonogram) consists of high frequency sound waves. A scrotal ultrasound can detect fluid collections, cysts, tumors and inflammation. A Doppler ultrasound exam may also be performed to evaluate blood flow to the testes. This is a good test to help diagnose testicular torsion (a twisted testicle that cuts off blood supply).",None
353,Cystoscopy with retrograde pyelography (x-ray evaluation of urinary system),"Along with cystoscopy the provider injects contrast into one or both ureters. These are the tubes that connect the bladder to the kidneys. An x-ray is done enabling a view of the ureters and kidneys. The procedure can detect kidney stones, strictures, cysts, and tumors.            ","Perforation of the bladder, injury of the ureter, or allergic reaction to the contrast dye. Infection after the procedure."
354,Ureteroscopy (camera examination of tubes between kidney and bladder),A small lighted tube is inserted through the urethra and bladder into the ureter (the tube connecting the bladder and kidneys). The scope is equipped with an instrument that can open blockages and/or help remove kidney stones stuck in the ureter.  ,Infection. Rarely bladder or ureter perforation. Patients can infrequently have a bad reaction to anesthesia. 
355,Transrectal ultrasound with prostate biopsy (ultrasound guided prostate tissue sample),"A diagnostic imaging procedure to guide prostate biopsy. An ultrasound (sonogram) consists of high frequency sound waves. An ultrasound device is inserted into the rectum to view the prostate, measure the prostate size and identify areas of concern. The device has an attachment that can take needle biopsies. The procedure is done to diagnose cancer.",The main risks of the procedure include infection and bleeding from the rectum or bladder. There may be blood in the semen with ejaculation for 2-3 weeks following the procedure.
356,"GreenLight PVPTM (Photo-selective Vaporization of the Prostate, laser)",GreenLight PVPTM (Photo-selective Vaporization of the Prostate) is a laser treatment for benign prostatic hyperplasia to reduce prostate size. During the procedure a thin fiber is inserted into the urethra through a cystoscope and green laser energy is applied to the prostate. The reduction in the size of the prostate allows better urinary flow.,"Complications include: bleeding from the bladder, infection, and painful urination. Longer term complications include retrograde ejaculation, incontinence, and erectile dysfunction (impotence)."
357,Prostate needle biopsy (needle tissue sample of prostate),A fine needle is inserted into the prostate to obtain tissue for analysis. The procedure is done to diagnose prostate cancer.,"Infection, bleeding at the biopsy site. There may be blood in the semen with ejaculation for 2-3 weeks following the procedure.  "
358,"Cystometrogram (CMG, bladder function test)","A cystometrogram measures the bladder's ability to store, contract, and expel urine. A catheter is inserted into a patient's bladder and fluid is inserted to fill the bladder. Pressure measurements are taken after the catheter is removed and the person tries to urinate. The test is generally done when people have problems with urinary retention and/or incontinence.","Complications include: painful urination after the procedure, infection, and noticeable blood in the urine. "
359,"Prostate specific antigen (PSA, prostate cancer screening blood test)","Prostate-specific antigen (PSA) is a protein produced by cells of the prostate gland. The level is measured with a blood test. The amount of PSA increases as the prostate enlarges with age. PSA levels also increase from prostate infections, with prostate cancer, and with trauma to the prostate. The levels are followed over time and are used by the provider to map out a treatment plan. Not all patients with an elevated PSA require further evaluation and/or treatment. Discussions with the treating doctor and patient will determine the best options.",None
360,"Carpal tunnel surgery  (open release surgery, wrist nerve)",Open release surgery is performed to treat carpal tunnel syndrome. A 2-inch incision is made over the wrist.The carpal tunnel ligament is cut to make more room in the carpal tunnel and take pressure off the median nerve. The procedure is generally done as an outpatient under local anesthesia. ,"Complications include: infection, nerve injury, and/or wrist stiffness. Pain may persist despite surgery. "
361,"Urinalysis (UA, microscopic examination of urine)","A urinalysis is a simple and common test to help detect urinary tract infections, and other bladder and kidney problems. The urine is analyzed for the presence of protein, blood, glucose and other substances. The urine is also examined under microscope for white blood cells, red blood cells and bacteria. The presence of white blood cells indicates an infection and red blood cells are seen in traumatic injuries, kidney stones and other diseases.",None
362,Blood test for heart damage (troponin test),Troponin is a protein that is released into the blood stream when heart muscle is damaged.  A blood test for troponin and an electrocardiogram (ECG) are the most commonly used tests to diagnose a heart attack.,None
364,"Angiogram, arm (x-ray of upper extremity blood vessels)","An angiogram is a procedure that uses x-ray imaging to see the inside of the arteries. An intravenous dye is injected into the artery of the arm and x-rays are taken to view the blood vessel. The test is done to detect blockages of the artery, tears of the artery, and abnormal enlargements of the artery called aneurysms. ",The artery can be damaged when the needle is inserted into the vessel. Patients can have an allergic reaction to the intravenous dye and rarely the reaction can be life threatening. The dye can also injure the kidneys. Patients with pre-existing kidney disease and diabetes are more likely to develop kidney damage from the dye.
367,Endoscopic carpal tunnel surgery (minimally invasive wrist surgery),Traditional carpal tunnel surgery requires a 2 inch incision to reach the carpal ligament. With the endoscopic technique one or two 1/2 inch incisions are made. A small camera is inserted into the incision to visualize and cut the carpal ligament causing the constriction and pressure on the median nerve. The procedure is generally done as an outpatient under local anesthesia.,"Complications include: infection, nerve injury, wrist stiffness, and/or wrist weakness. Pain may persist despite surgery."
369,Cervical discectomy (neck disc surgery),"Cervical discectomy with fusion involves relieving the pressure on the nerves or spinal cord by removing the offending disc. A bone graft is placed between the bones above and below where the disc was removed, which fuses the two bones together. The surgeon reaches the disc by making an incision in the front of the neck (anterior) and the operation is often called an anterior cervical discectomy. Hardware may be inserted to help stabilize the bones and speed healing after surgery.                ","Complications include: hoarseness, swallowing problems, degeneration of the adjacent vertebrae, fractures of the hardware installed, migration of the bone graft requiring a second surgery, nerve damage and chronic pain. All surgery comes with the risk of infection and blood clots. Patients can infrequently have bad reactions to the general anesthesia."
370,Decompression laminectomy (removal of back of spinal bones),"Decompression laminectomy is the removal of the entire bony lamina, a portion of the enlarged facet joints, and the thickened ligaments overlying the spinal cord and nerves. The lamina are two broad plates, extending posteriorly from the pedicles, fusing together to complete the roof of the vertebral arch. Reasons for this surgery include spinal stenosis, degenerative disk disease, herniated disc, and sciatica.","Complications include: Nerve damage, persistent pain. All surgery comes with the risk of infection and blood clots. Patients can infrequently have bad reactions to anesthesia."
371,Foraminotomy (spinal nerve decompression),Foraminotomy is a surgical procedure done to relieve pressure on a nerve as it exits the spinal canal. The openings to allow nerves to exit the spine are called neural foramina. Most often the pressure is cause by bone spurs or ligaments. The most common reason for the surgery is sciatica or other persistent nerve pain caused by a narrowed neural foramen.  ,Complications include: nerve damage or persistent pain. All surgery comes with the risk of infection and blood clots. Patients can infrequently have bad reactions to anesthesia.
372,Lumbar fusion (surgical fusion of lower spine vertebrae),"A lumbar fusion is the locking together (fusing) of multiple spinal vertebrae of the back to help relieve the pressure placed on the nerves from movement of the spine. The surgeon removes the disc material between the vertebrae and replaces it with a bone graft. Sometimes metal hardware is placed to bridge the vertebrae as well. The bone graft can be taken from the patient's hip (autograft bone) during the spine fusion surgery, harvested from cadaver bone (allograft bone) or manufactured (synthetic bone graft substitute). Reasons for the surgery include pain and numbness caused by a herniated disc, spinal stenosis, and spondylolisthesis.","Complications include: vertebrae failing to fuse, hardware fracture, bone graft migration, nerve damage or persistent pain. All surgery comes with the risk of infection and blood clots. Patients can infrequently have bad reactions to anesthesia."
373,Anterior cervical fusion (neck fusion),"An anterior cervical fusion is the locking together (fusing) of multiple spinal vertebrae of the neck to help relieve the pressure placed on the nerves from movement of the spine caused by spinal stenosis, herniated disc, and bone spurs. The surgeon approaches the spine from the front of the neck (anterior), removes the disc material between the vertebrae, and replaces it with a bone graft. The bone graft allows the vertebrae to fuse together. The bone graft can be taken from the patient's hip (autograft bone) during the spine fusion surgery, harvested from cadaver bone (allograft bone) or manufactured (synthetic bone graft substitute). Hardware may be used to help bridge the vertebrae together. ","Complications include: hoarseness, swallowing problems, degeneration of the adjacent vertebrae, failure of the hardware installed, migration of the bone graft, nerve damage and chronic pain. All surgery comes with the risk of infection and blood clots. Patients can infrequently have bad reactions to anesthesia."
374,Posterolateral gutter fusion (surgical fusion of spinal bones),"A posterolateral gutter fusion is a type of lumbar fusion. A lumbar fusion is the locking together (fusing) of multiple spinal vertebrae of the back to help relieve the pressure placed on the nerves from movement of the spine. The surgeon approaches the spine from the posterior lateral area of the back. Disc material between the vertebrae is removed, and replaced it with a bone graft.  Metal hardware may be used to help bridge the vertebrae together. The bone graft can be taken from the patient's hip (autograft bone) during the spine fusion surgery, harvested from cadaver bone (allograft bone) or manufactured (synthetic bone graft substitute). Reasons for the surgery include pain and numbness caused by a herniated disc, spinal stenosis, and spondylolisthesis.","Complications include: vertebrae failing to fuse, hardware fracture, bone graft migration, nerve damage or persistent pain. All surgery comes with the risk of infection and blood clots. Patients can infrequently have bad reactions to anesthesia."
375,"Posterior lumbar interbody fusion (PLIF, fusion of lower spinal bones)","A type of lumbar fusion procedure. A lumbar fusion is the locking together (fusing) of multiple spinal vertebrae of the back to help relieve the pressure placed on the nerves from movement of the spine. The procedure is done from the back and includes removing the disc between two vertebrae and inserting a bone graft into the space created between the two vertebral bodies. The bone graft can be taken from the patient's hip (autograft bone) during the spine fusion surgery, harvested from cadaver bone (allograft bone) or manufactured (synthetic bone graft substitute). Reasons for the surgery include pain and numbness caused by a herniated disc, spinal stenosis, and spondylolisthesis. ","Complications include: vertebrae failing to fuse, hardware fracture, bone graft migration, nerve damage or persistent pain. All surgery comes with the risk of infection and blood clots. Patients can infrequently have bad reactions to anesthesia."
376,"Anterior lumbar interbody fusion (ALIF, fusion of back bones)","A type of lumbar fusion procedure. The surgery is done by approaching the spine from the front though the abdomen. The disc material between two vertebrae is removed and bone material is inserted to produce the fusion. Sometimes a posterior fusion is performed as well. Reasons for the surgery include pain and numbness caused by a herniated disc, spinal stenosis, and spondylolisthesis. ","Complications include: vertebrae failing to fuse, hardware failure, bone graft migration, nerve damage or persistent pain. All surgery comes with the risk of infection and blood clots. Patients can infrequently have bad reactions to anesthesia."
377,"Anterior posterior spinal fusion (fusion of front, back of spine)","A type of lumbar fusion. The surgeon performs both anterior and posterior fusion to achieve maximum spine stability. A lumbar fusion is the locking together (fusing) of multiple spinal vertebrae of the back to help relieve the pressure placed on the nerves from movement of the spine. Reasons for the surgery include pain and numbness caused by a herniated disc, spinal stenosis, and spondylolisthesis. Hardware is often used to stabilize the spine. This type of surgery is usually done when the spine is particularly unstable.","Complications include: vertebrae failing to fuse, hardware failure, bone graft migration, nerve damage or persistent pain. All surgery comes with the risk of infection and blood clots. Patients can infrequently have bad reactions to anesthesia."
378,Disc replacement (spinal disc replacement),Replacing the damaged disc between the vertebrae with an artificial disc is an alternative to a spinal fusion for chronic back and neck pain secondary to degenerative disc disease and a herniated disc.,Complications include: chronic pain form nerve damage; a necessary repeat surgical procedure from failure of the artificial disc. All surgery comes with the risk of infection and blood clots. Patients can infrequently have bad reactions to anesthesia.
379,"Deep Brain Stimulation (DBS, electrode implantation in brain)","Deep brain stimulation (DBS) is a neurosurgical treatment which involves the implantation of a brain pacemaker that stimulates the brain with mild electrical signals. The procedure is done to treat Parkinson's disease not responding to drug therapy. It has also been used to treat chronic pain, tremor and dystonia.","Complications include changes in personality and behavior such as: apathy, hallucinations, compulsive gambling, hypersexuality, cognitive dysfunction, and depression. Risks from anesthesia depend on the type use for the procedure."
380,"Anterior cervical corpectomy (removal of neck bone, disc)",The spine is approached from the anterior (front) part of the neck. The surgeon removes a vertebra and disc material that is causing pressure on the spinal cord (spinal stenosis). The surgeon then proceeds with a neck fusion using hardware to stabilize the spine. ,"Complications include: hoarseness, swallowing problems, degeneration of the adjacent vertebrae, failure of the hardware installed, migration of the bone graft, nerve damage and chronic pain. All surgery comes with the risk of infection and blood clots. Patients can infrequently have bad reactions to the general anesthesia."
381,"Microdiscectomy (removal of small portion of disk, bone in spine)",A small portion of the bone and/or disc material that is impinging on the nerve is removed. The procedure is done to relieve the pain of a herniated disc. The surgery is more effective in relieving leg pain than back pain and is much less invasive than a total removal of the disc and fusion.,Complications include chronic pain and failure of the procedure requiring a repeat procedure. All surgery comes with the risk of infection and blood clots. Patients can infrequently have bad reactions to anesthesia.
382,Percutaneous discectomy (minimally invasive removal of spinal disk),Small instruments are inserted through the skin into the disc between the vertebrae. The disc material is removed by cutting it out or using a laser to remove the material. X-rays are used to guide the instrument. The procedure is done to relieve the pain of a herniated disc. It can usually be performed using local anesthesia.,"Complications include infection, persistent pain and failure of the procedure requiring a repeat procedure. "
383,Percutaneous endoscopic laser discectomy (minimally invasive laser removal of spinal disk),Percutaneous endoscopic laser discectomy is a type of percutaneous discectomy where the surgeon uses a laser to remove the disc material. A small laser is inserted through the skin guided by x-rays. The procedure is done to relieve the pain of a herniated disc. It can usually be performed using local anesthesia. ,"Complications include infection, persistent pain and failure of the procedure requiring a repeat procedure. "
384,Percutaneous pedicle screws (minimally invasive spinal stabilization),"Pedicle screws are used to stabilize the spine and allow the vertebrae to fuse. Pedicle screws are connected with rods. These screws are usually placed through an open incision. In the percutaneous route the screws are placed through a small skin incision, often referred to as a minimally invasive technique.      ","Complications include: vertebrae failing to fuse, hardware fracture, nerve damage and/or persistent pain. All surgery comes with the risk of infection and blood clots. Patients can infrequently have bad reactions to anesthesia."
385,"Transforaminal lumbar interbody fusion (TLIF, lower back spinal fusion)","Transforaminal lumbar interbody fusion (TLIF) is a type of lumbar fusion. A lumbar fusion is the locking together (fusing) of multiple spinal vertebrae of the back to help relieve the pressure placed on the nerves from movement of the spine. The bone graft can be taken from the patient's hip (autograft bone) during the spine fusion surgery, harvested from cadaver bone (allograft bone) or manufactured (synthetic bone graft substitute). The front portion of the spine is stabilized with a bone graft and interbody spacer. The rear column is secured in place with pedicle screws, rods, and bone graft.","Complications include: vertebrae failing to fuse, hardware fracture, bone graft migration, nerve damage and/or persistent pain. All surgery comes with the risk of infection and blood clots. Patients can infrequently have bad reactions to anesthesia."
386,Vertebroplasty (minimally invasive treatment of spine fracture),Vertebroplasty is a procedure used to treat compression fractures of the thoracic and lumbar spine. Using x-ray guidance a needle is inserted into the compressed vertebra and acrylic cement is inserted. When the cement dries the bone regains stability and strength.      ,"Complications include: leaking of acrylic cement outside of the vertebral body, infection, bleeding, numbness, and tingling. The patient may continue to have back pain following the procedure. "
387,Lumbar facet rhizotomy (deadening of spinal nerves with heat),A procedure that is used to treat lower back pain being caused by an irritated nerve near a facet joint of the lower back. A needle is inserted into the back near the nerve causing the pain. A small wire is passed through the needle and a radio frequency current is used to deaden the nerve.         ,"Complications include bleeding, infection, and nerve damage. Nerve damage can result in increased pain, numbness, and/or leg weakness. "
388,Lumbar facet joint injection (low back joint injection for pain),A procedure that is used to treat lower back pain being caused by an irritated nerve near a facet joint of the lower back. A needle is inserted near the irritated nerve causing the pain. A local anesthetic and a corticosteroid are injected into the area. The anesthetic usually gives some immediate relief and the corticosteroid may diminish pain for months. If the pain returns a more permanent procedure such as a lumbar facet rhizotomy is considered.       ,"Complications include bleeding, infection, allergic reaction, and nerve damage. Nerve damage can result in increased pain, numbness and/or leg weakness. "
389,"Epidural steroid injection (ESI, injection into space around spinal cord)","An epidural steroid injection is performed to help relieve back pain or leg pain caused by spinal stenosis, degenerative disc disease, sciatica, spondylolysis, or a herniated disc. A needle is inserted into the sac surrounding the spinal cord and nerves but does not enter the area containing the spinal cord. A local anesthetic and a corticosteroid are injected into this area. The anesthetic usually gives some immediate relief and the corticosteroid may diminish pain for several weeks or more. ","Complications include bleeding, infection, allergic reaction, and nerve damage. Nerve damage can result in increased pain, numbness and/or leg weakness."
390,Arthrography (x-ray of joint),Arthrography is performed to outline the joints and ligaments. A dye is inserted into the joint and x-rays are taken to identify any injuries.        ,"Infection, bleeding, or allergic reaction to the dye."
391,Bone scintigraphy (bone scan),"Bone scintigraphy, also called a bone scan, is a diagnostic test to create images of bones for evaluation. Radioactive material is injected into a blood vessel and collects in the bones. It is then detected by a scanner. A bone scan detects increased metabolic activity and can be used to diagnose bone infections, fractures or cancer.",Rarely an allergic reaction to the injected radioactive material can occur.
392,"Electromyogram (EMG, recording of muscle electricity)","An electromyogram (EMG), also called electromyography, is a test that measures the electrical activity of the muscle at rest and with contractions. The impulses are measured by inserting needle electrodes into the muscle. The EMG graphs this electrical activity. An EMG is used to help diagnose diseases, such as muscular dystrophy, myositis (inflammation of the muscles), peripheral nerve damage, amyotrophic lateral sclerosis, myasthenia gravis, carpal tunnel syndrome, and a pinched nerve from a herniated disc.",Complications are rare. The nerve or muscle can be irritated from insertion of the electrodes.
393,Video fluoroscopy (x-rays that capture motion of a body part),"Video fluoroscopy uses a video to capture and store a rapid series of x-ray pictures as a person performs a bodily function, such as swallowing. The video enables the doctor to watch the function of the body in real time motion. It is used most often to detect swallowing problems.",Complications of a single video swallow are rare. 
394,"Carpal tunnel release (mini open technique, wrist nerve)","In the mini open carpal tunnel release the surgeon makes a 1 inch incision over the carpal tunnel ligament to allow direct visualization during the procedure. Through this small incision the carpal tunnel ligament is cut releasing the pressure on the median nerve. The procedure is done to help relieve numbness, pain and weakness in the hand. This technique tends to cause less pain and it may minimize scarring and stiffness afterward.","Complications include: pain, increased numbness and tingling, infection, scarring, stiffness and diminished wrist strength."
395,Needle aponeurotomy (minimally invasive treatment of bent fingers),Needle aponeurotomy is a procedure to reduce the contraction caused by the diseased palmar fascia in Dupuytren's contracture. Very small puncture wounds are made in the hand and the tip of a needle is used to divide the contracted palmar fascia.,Complications include infection from the needle insertion and/or nerve damage.
396,Arthroplasty (joint surgery),Arthroplasty is the general term for surgery to improve joint function. The most common type is to replace the affected joint with an artificial joint. Other techniques involve removing bone and scar tissue around the joint to increase movement.      ,"Complications include bleeding, infection, blood clots and reactions to anesthesia. Other complications are dependent on the joint being repaired.  "
397,Joint fusion (arthrodesis),Joint fusion is surgery that decreases the movement of the joint. It can be done on any joint in the body and is usually performed to improve stability and decrease pain.          ,"Complications include bleeding, infection, blood clots and reactions to anesthesia. Other complications are dependent on the joint being fused.  "
398,Knee arthroplasty (knee replacement),"A surgical procedure to replace the knee with an artificial joint. The damaged cartilage and bone of the knee joint (tibia, femur, and patella) are replaced with a combination of metal and plastic components. The most common reasons for knee replacement are arthritis and other conditions which deteriorate the cartilage and bone of the joint.","Knee stiffness, blood loss and nerve injury are risks. The surgery can result in post-operative pain, infection or blood clots of the legs (deep vein thrombosis) or lungs (pulmonary embolus). Patients can infrequently have bad reactions to the general anesthesia including allergic reactions and very rarely a heart attack or stroke."
399,Hip arthroplasty (hip replacement),A surgical procedure to replace the hip with an artificial joint. The cup shaped hip socket and the ball of the thigh bone are replaced with metal and plastic components.  The most common reasons for hip replacement are arthritis and other conditions which deteriorate the cartilage and bone of the joint.,"Joint dislocation, bone fracture, hardware fracture, loosening of the joint, and change in leg length are all risks. The surgery can result in post-operative pain, infection or blood clots of the legs (deep vein thrombosis) or lungs (pulmonary embolus). Patients can infrequently have bad reactions to the general anesthesia including allergic reactions and very rarely a heart attack or stroke."
400,Arthroscopic surgery (joint surgery using camera),Arthroscopic surgery involves the insertion of a tube with a camera into the joint and examination of the inside of the joint. Many times the problem can be identified and repaired at the same time. Many joints can be repaired with this procedure but the knee is the most common.            ,"Complications include infection, injury to the joint, ligaments, cartilage, nerves or blood vessels. Patients can infrequently have bad reactions to anesthesia."
401,Rotator cuff repair (shoulder muscle repair),"The rotator cuff is part of the shoulder joint and is made up of 4 muscles and tendons. Surgery is done primarily to repair the tendons, and remove bone spurs. The procedure can be performed through a larger incision (open technique) or through a tube with a camera requiring only a small incision (arthroscopic technique).","Complications include infection, injury to the joint, ligaments, cartilage, nerves or blood vessels. Patients can infrequently have bad reactions to anesthesia. Stiffness of the shoulder, failure of the surgery to relieve symptoms, failure of the repair to heal and weakness of the shoulder may occur."
403,Laparoscopic banding (weight loss surgery),A type of weight loss surgery. The surgeon inserts a band around the upper part of the stomach creating a small pouch. This procedure makes the stomach smaller causing patients to feel full after eating small amounts of food. The procedure has been demonstrated to help patients lose weight and decrease the risk of type 2 diabetes. Some patients that already have diabetes have normal sugar levels after the surgery. There are different types of bands. Some are adjustable by adding or removing fluid from the band through a valve under the skin.,"Complications include: injury to the stomach, frequent nausea and vomiting, damage to the surrounding intestines, inflammation of the stomach (gastritis), heartburn, stomach ulcers, and malnutrition. Scarring inside the abdomen can result in intestinal obstruction. All surgery comes with the risk of infection and blood clots. Patients can infrequently have bad reactions to anesthesia."
404,Disk removal (spinal disk removal),"A surgical procedure to remove part of a herniated disk in the spine. This can relieve some of the pressure on a nerve causing pain in the neck, back or leg.","Spinal fluid leak and nerve injury. A recurrent herniated disc can occur. Any surgery can result in pain, infection or blood clots of the legs (deep vein thrombosis) or lungs (pulmonary embolus). Patients can infrequently have bad reactions to anesthesia."
